probe,pvalue,Treated_Minus_Aged,adjust.p
cg20311522,0.01238821052470397,-0.3375,0.7777182913001494
cg23516558,0.015060849850293573,-0.3225,0.7777182913001494
cg12262847,2.3266793367763213e-4,-0.3275,0.7777182913001494
cg04972669,0.00762701128656247,-0.36749999999999994,0.7777182913001494
cg06422525,0.017302001839347634,-0.32750000000000007,0.7777182913001494
cg14637146,0.013667536136693434,-0.41999999999999993,0.7777182913001494
cg04223956,0.0018439832370357647,-0.37750000000000006,0.7777182913001494
cg17009635,0.003351152015463514,-0.36999999999999994,0.7777182913001494
cg09032791,0.0077795234020704585,-0.32499999999999996,0.7777182913001494
cg01948978,0.012468795242429937,-0.3275,0.7777182913001494
cg04105597,8.942855569775555e-4,-0.3275,0.7777182913001494
cg24259463,1.6487020166689348e-4,-0.44000000000000006,0.7777182913001494
cg17130544,4.425171286335577e-4,-0.4375,0.7777182913001494
cg05113410,0.01636181214439398,-0.3075,0.7777182913001494
cg21670828,0.005382704021033013,-0.35250000000000004,0.7777182913001494
cg07120031,0.0038720484438871786,-0.37249999999999994,0.7777182913001494
cg01048228,0.001101216707824337,-0.3324999999999999,0.7777182913001494
cg07557493,0.00200961912503109,-0.5274999999999999,0.7777182913001494
cg09907068,0.0015530509476826759,-0.32,0.7777182913001494
cg02632441,0.005526306257417461,-0.395,0.7777182913001494
cg25516222,0.030068739817713293,-0.4125,0.7777182913001494
cg08351088,0.006036109622046267,-0.37499999999999994,0.7777182913001494
cg14597748,0.019096031091023702,-0.30749999999999994,0.7777182913001494
cg21194040,0.006147662143724863,-0.335,0.7777182913001494
cg21521438,0.01799598307837426,-0.3225,0.7777182913001494
cg26217154,0.034225707008876734,-0.4325,0.7777182913001494
cg25437886,0.006567050797047108,-0.34249999999999997,0.7777182913001494
cg00796354,8.761640028977307e-4,-0.48249999999999993,0.7777182913001494
cg17051399,0.04966050374049799,-0.31,0.7777182913001494
cg15554421,0.06609943209498523,-0.30999999999999994,0.7777182913001494
cg04984128,3.095933641501444e-4,-0.34249999999999997,0.7777182913001494
cg19119393,1.5581672255676572e-4,-0.32500000000000007,0.7777182913001494
cg23860509,0.013567804718947573,-0.355,0.7777182913001494
cg19067700,1.9272278085485792e-4,-0.46749999999999997,0.7777182913001494
cg13274603,7.639120193135207e-4,-0.4475,0.7777182913001494
cg18723227,0.0036745002226012016,-0.41000000000000003,0.7777182913001494
cg11701486,0.010230693139138165,-0.3324999999999999,0.7777182913001494
cg18982477,0.005351432622682092,-0.5425000000000001,0.7777182913001494
cg13284299,0.008226689892081288,-0.31499999999999995,0.7777182913001494
cg06530743,0.0010015002636789931,-0.3575,0.7777182913001494
cg03281257,5.875329661368399e-4,-0.30500000000000005,0.7777182913001494
cg03407966,0.0033655201237897713,-0.5625,0.7777182913001494
cg13794460,0.050812568907820745,-0.30500000000000005,0.7777182913001494
cg12271523,0.0693240396653598,-0.30499999999999994,0.7777182913001494
cg19290403,0.006162713352552476,-0.31,0.7777182913001494
cg25134641,0.004967690424750564,-0.38749999999999996,0.7777182913001494
cg06829659,0.018116456730372935,-0.3125,0.7777182913001494
cg21593211,0.004543092844845684,-0.5125000000000001,0.7777182913001494
cg16291587,0.001595275657902607,-0.38500000000000006,0.7777182913001494
cg15555000,0.0033600338518432475,-0.38500000000000006,0.7777182913001494
cg21229718,0.007493456448426998,-0.3975000000000001,0.7777182913001494
cg01565584,0.017688293591034493,-0.315,0.7777182913001494
cg08036340,0.018722212432322277,-0.37,0.7777182913001494
cg16236275,0.005377355548325939,-0.365,0.7777182913001494
cg10626536,0.00556737021701697,-0.3825,0.7777182913001494
cg05476493,0.030497288332038644,-0.435,0.7777182913001494
cg15215077,0.0036531577121564677,-0.30250000000000005,0.7777182913001494
cg14847662,0.002709690703124133,-0.32000000000000006,0.7777182913001494
cg06012428,0.0031454532246500536,-0.3675,0.7777182913001494
cg09010113,0.005645594228476591,-0.46499999999999997,0.7777182913001494
cg25982178,0.005311239999864599,-0.37999999999999995,0.7777182913001494
cg23264877,0.0034652485257918413,-0.3549999999999999,0.7777182913001494
cg16061863,0.025091409184722652,-0.31500000000000006,0.7777182913001494
cg27396403,0.001011707429057087,-0.36499999999999994,0.7777182913001494
cg18648125,0.003978096342632595,-0.43500000000000005,0.7777182913001494
cg22511019,0.007247373587544715,-0.3275,0.7777182913001494
cg23149098,6.480125746730403e-4,-0.39249999999999996,0.7777182913001494
cg14625829,0.013335036367606854,-0.3125,0.7777182913001494
cg25011396,0.005995625868481877,-0.3550000000000001,0.7777182913001494
cg19010198,0.013532884036384652,-0.34500000000000003,0.7777182913001494
cg11919577,0.0024816082438419555,-0.44,0.7777182913001494
cg25152440,0.009681556766903477,-0.3375,0.7777182913001494
cg02871254,0.014185529562363403,-0.3225,0.7777182913001494
cg18118000,0.02626365163756975,-0.3275,0.7777182913001494
cg16547038,0.00819785520708883,-0.32999999999999996,0.7777182913001494
cg01814438,0.020616859984528876,-0.3324999999999999,0.7777182913001494
cg11164712,0.0038447303322166402,-0.345,0.7777182913001494
cg16639568,0.006099350217163929,-0.495,0.7777182913001494
cg14310198,6.237734740868312e-4,-0.395,0.7777182913001494
cg20571993,0.0027153846180671686,-0.3575,0.7777182913001494
cg01214788,0.003834528479794692,-0.36249999999999993,0.7777182913001494
cg22279720,0.04633988370992414,-0.3125,0.7777182913001494
cg02143897,0.0011624872909933297,-0.3025,0.7777182913001494
cg24603972,7.965075906604578e-5,-0.5625,0.7777182913001494
cg02080420,0.013784037879709842,-0.3325,0.7777182913001494
cg00755791,0.0024403469892318925,-0.47000000000000003,0.7777182913001494
cg21940735,0.004717601326925268,-0.35750000000000004,0.7777182913001494
cg25589001,0.0023506179597317005,-0.3125,0.7777182913001494
cg04782765,0.009921483582399764,-0.3125,0.7777182913001494
cg25905220,0.0050251043979954585,-0.36,0.7777182913001494
cg02728857,0.0013853483614722523,-0.5025000000000001,0.7777182913001494
cg20407675,0.0021308352495574456,-0.42250000000000004,0.7777182913001494
cg00006771,0.0036915992255663397,-0.36000000000000004,0.7777182913001494
cg25338454,0.019356269672666994,-0.38750000000000007,0.7777182913001494
cg27198040,5.055659718334362e-4,-0.4975,0.7777182913001494
cg20778952,0.008040876149742016,-0.31750000000000006,0.7777182913001494
cg04692238,0.002255069291735095,-0.4025000000000001,0.7777182913001494
cg00693166,0.03447654011052298,-0.31500000000000006,0.7777182913001494
cg12613081,0.002227355882735609,-0.39249999999999996,0.7777182913001494
cg03466339,0.009984556443601961,-0.42,0.7777182913001494
cg04590385,0.028560061020740008,-0.365,0.7777182913001494
cg17620425,0.0027850872914752783,-0.34750000000000003,0.7777182913001494
cg01373217,0.012863550186931394,-0.30000000000000004,0.7777182913001494
cg16396191,0.01753076212983515,-0.3425,0.7777182913001494
cg07328987,0.022651982542776863,-0.37500000000000006,0.7777182913001494
cg01939634,0.012192265082425173,-0.41000000000000003,0.7777182913001494
cg05920270,0.0015561858096026138,-0.3225,0.7777182913001494
cg14471458,0.006612188141650053,-0.31249999999999994,0.7777182913001494
cg01123770,0.0011127389985349325,-0.46499999999999997,0.7777182913001494
cg16661769,0.02189973992887566,-0.3275,0.7777182913001494
cg20903486,0.0035444312940656093,-0.425,0.7777182913001494
cg17374034,0.04348533319963726,-0.3350000000000001,0.7777182913001494
cg25707951,0.0028131629527115847,-0.37749999999999995,0.7777182913001494
cg10021918,0.009919511348204828,-0.39,0.7777182913001494
cg23090515,0.03016841389941513,-0.305,0.7777182913001494
cg11274077,0.0409204021966714,-0.31499999999999995,0.7777182913001494
cg26954114,0.003392131006921968,-0.3399999999999999,0.7777182913001494
cg01053405,0.007978137985868255,-0.45999999999999996,0.7777182913001494
cg12607269,0.0011146250241985658,-0.32499999999999996,0.7777182913001494
cg06238679,0.004865380373528245,-0.5025,0.7777182913001494
cg25810036,0.05619841655557476,-0.305,0.7777182913001494
cg15601195,4.122947117851583e-4,-0.36,0.7777182913001494
cg07403374,0.004637649076945807,-0.5125,0.7777182913001494
cg04819180,0.004349955313539337,-0.36500000000000005,0.7777182913001494
cg07698804,0.03114871550349233,-0.305,0.7777182913001494
cg03414654,0.0025210435237994987,-0.33000000000000007,0.7777182913001494
cg09154732,0.009166695240859472,-0.5050000000000001,0.7777182913001494
cg08235465,0.0039422004395652304,-0.34999999999999987,0.7777182913001494
cg04678895,0.014836307652724761,-0.30750000000000005,0.7777182913001494
cg09996970,0.0032007404691810674,-0.5625,0.7777182913001494
cg08277137,3.772112194003855e-4,-0.43500000000000005,0.7777182913001494
cg17526578,0.0032638545815128865,-0.51,0.7777182913001494
cg16474930,0.006736858812234519,-0.35750000000000004,0.7777182913001494
cg13628726,1.8290660481489824e-4,-0.3349999999999999,0.7777182913001494
cg13308745,0.012530401205855118,-0.31,0.7777182913001494
